latitude,longitude,Slope_Angle,Rainfall_mm,Soil_Saturation,Vegetation_Cover,Earthquake_Activity,Proximity_to_Water,Soil_Type_Gravel,Soil_Type_Sand,Soil_Type_Silt
23.76111111111112,86.41277777777779,4.2132,228.0,0.2351,0.5554,4.7,0.7918,1,0,0
23.76111111111112,86.41305555555556,3.7006,228.0,0.26,0.5614,4.7,0.8201,1,0,0
23.76111111111112,86.41333333333334,3.7006,228.0,0.2574,0.5614,4.7,0.8483,1,0,0
23.76111111111112,86.41361111111112,3.8353,228.0,0.2469,0.5598,4.7,0.8766,1,0,0
23.76111111111112,86.41388888888889,4.1445,228.0,0.2277,0.5583,4.7,0.9049,1,0,0
23.76111111111112,86.41416666666667,3.1018,228.0,0.2816,0.5646,4.7,0.9332,1,0,0
23.76111111111112,86.41444444444446,3.1624,228.0,0.2733,0.5664,4.7,0.9614,1,0,0
23.76111111111112,86.41472222222224,3.098,228.0,0.273,0.5689,4.7,0.9897,1,0,0
23.76111111111112,86.415,2.3923,228.0,0.3209,0.5751,4.7,1.018,1,0,0
23.76111111111112,86.41527777777779,1.441,228.0,0.4196,0.5807,4.7,1.0463,1,0,0
23.76111111111112,86.41555555555557,0.6853,228.0,0.5677,0.5866,4.7,1.0746,1,0,0
23.76111111111112,86.41583333333334,0.7393,228.0,0.5551,0.5883,4.7,1.1028,1,0,0
23.76111111111112,86.41611111111112,1.441,228.0,0.4275,0.5793,4.7,1.1311,1,0,0
23.76111111111112,86.4163888888889,2.4508,228.0,0.3291,0.5727,4.7,1.1343,1,0,0
23.76111111111112,86.41666666666667,3.0071,228.0,0.2958,0.5676,4.7,1.1305,1,0,0
23.76111111111112,86.41694444444445,3.1659,228.0,0.2909,0.5602,4.7,1.1275,1,0,0
23.76111111111112,86.41722222222224,4.4395,228.0,0.2258,0.5514,4.7,1.1251,1,0,0
23.76111111111112,86.4175,5.0407,228.0,0.2015,0.5502,4.7,1.1235,1,0,0
23.76111111111112,86.41777777777779,4.5369,228.0,0.2239,0.5504,4.7,1.1226,1,0,0
23.76111111111112,86.41805555555557,5.5664,228.0,0.184,0.5421,4.7,1.1223,1,0,0
23.76111111111112,86.41833333333334,4.7691,228.0,0.2148,0.5477,4.7,1.1228,1,0,0
23.76111111111112,86.41861111111112,3.2391,228.0,0.2904,0.563,4.7,1.1241,1,0,0
23.76111111111112,86.4188888888889,2.0988,228.0,0.3745,0.5727,4.7,1.126,1,0,0
23.76111111111112,86.41916666666667,2.3974,228.0,0.3456,0.5732,4.7,1.1286,1,0,0
23.760833333333338,86.41250000000001,4.9799,228.0,0.2021,0.55,4.7,0.7635,1,0,0
23.760833333333338,86.41277777777779,3.7672,228.0,0.2597,0.5591,4.7,0.7918,1,0,0
23.760833333333338,86.41305555555556,3.4791,228.0,0.2741,0.564,4.7,0.8201,1,0,0
23.760833333333338,86.41333333333334,3.4791,228.0,0.2708,0.564,4.7,0.8483,1,0,0
23.760833333333338,86.41361111111112,3.2615,228.0,0.2797,0.5646,4.7,0.8766,1,0,0
23.760833333333338,86.41388888888889,3.7672,228.0,0.2462,0.5597,4.7,0.9049,1,0,0
23.760833333333338,86.41416666666667,3.3923,228.0,0.2622,0.564,4.7,0.9332,1,0,0
23.760833333333338,86.41444444444446,2.9546,228.0,0.285,0.567,4.7,0.9614,1,0,0
23.760833333333338,86.41472222222224,2.1095,228.0,0.3481,0.5756,4.7,0.9897,1,0,0
23.760833333333338,86.415,1.0551,228.0,0.4832,0.5842,4.7,1.018,1,0,0
23.760833333333338,86.41527777777779,0.3427,228.0,0.7062,0.5926,4.7,1.0463,1,0,0
23.760833333333338,86.41555555555557,0.3427,228.0,0.7067,0.5926,4.7,1.0746,1,0,0
23.760833333333338,86.41583333333334,1.3705,228.0,0.4332,0.5838,4.7,1.1028,1,0,0
23.760833333333338,86.41611111111112,1.3836,228.0,0.4382,0.5851,4.7,1.1083,1,0,0
23.760833333333338,86.4163888888889,1.1112,228.0,0.4914,0.5842,4.7,1.1038,1,0,0
23.760833333333338,86.41666666666667,4.0606,228.0,0.2414,0.5583,4.7,1.0999,1,0,0
23.760833333333338,86.41694444444445,6.1479,228.0,0.1641,0.5375,4.7,1.0968,1,0,0
23.760833333333338,86.41722222222224,5.8448,228.0,0.1756,0.5432,4.7,1.0944,1,0,0
23.760833333333338,86.4175,3.3923,228.0,0.283,0.5597,4.7,1.0927,1,0,0
23.760833333333338,86.41777777777779,1.1851,228.0,0.4908,0.5732,4.7,1.0917,1,0,0
23.760833333333338,86.41805555555557,3.8458,228.0,0.2533,0.5602,4.7,1.0915,1,0,0
23.760833333333338,86.41833333333334,4.1386,228.0,0.2369,0.5576,4.7,1.092,1,0,0
23.760833333333338,86.41861111111112,0.3427,228.0,0.7332,0.5793,4.7,1.0933,1,0,0
23.760833333333338,86.4188888888889,1.0279,228.0,0.5126,0.5866,4.7,1.0952,1,0,0
23.760833333333338,86.41916666666667,2.072,228.0,0.3727,0.5774,4.7,1.0979,1,0,0
23.760833333333338,86.41944444444445,3.3522,228.0,0.2768,0.5666,4.7,1.1014,1,0,0
23.760833333333338,86.41972222222223,2.6882,228.0,0.3198,0.5717,4.7,1.1055,1,0,0
23.760833333333338,86.42000000000002,1.0551,228.0,0.5037,0.5826,4.7,1.1103,1,0,0
23.76055555555556,86.41250000000001,4.8372,228.0,0.2071,0.5539,4.7,0.7635,1,0,0
23.76055555555556,86.41277777777779,2.6882,228.0,0.3269,0.5717,4.7,0.7918,1,0,0
23.76055555555556,86.41305555555556,1.0551,228.0,0.5128,0.5826,4.7,0.8201,1,0,0
23.76055555555556,86.41333333333334,1.0279,228.0,0.5147,0.5814,4.7,0.8483,1,0,0
23.76055555555556,86.41361111111112,1.7825,228.0,0.4001,0.5783,4.7,0.8766,1,0,0
23.76055555555556,86.41388888888889,1.7825,228.0,0.3948,0.5803,4.7,0.9049,1,0,0
23.76055555555556,86.41416666666667,1.0279,228.0,0.4994,0.5866,4.7,0.9332,1,0,0
23.76055555555556,86.41444444444446,1.0551,228.0,0.4893,0.5866,4.7,0.9614,1,0,0
23.76055555555556,86.41472222222224,1.0551,228.0,0.4857,0.5866,4.7,0.9897,1,0,0
