date,precipitation,temperature_mean,relative_humidity,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,month_sin,month_cos,landslide_event
2023-07-09,7.07,22.15,91.54,7.07,49.71999999999993,186.7,521.3100000000001,1325.09,-0.4999999999999997,-0.8660254037844388,0
2023-07-10,23.71,23.19,92.38,23.71,39.95999999999993,156.05000000000004,533.87,1329.36,-0.4999999999999997,-0.8660254037844388,0
2023-07-11,56.58,22.74,94.43,56.58,87.35999999999993,206.89000000000004,560.04,1325.59,-0.4999999999999997,-0.8660254037844388,0
2023-07-12,54.5,21.58,94.61,54.5,134.78999999999994,235.05,550.43,1371.34,-0.4999999999999997,-0.8660254037844388,1
2023-07-13,70.76,22.22,93.62,70.76,181.83999999999992,255.27000000000004,570.8599999999999,1412.27,-0.4999999999999997,-0.8660254037844388,0
2023-07-14,19.31,22.25,90.6,19.31,144.56999999999994,241.11000000000004,531.91,1352.36,-0.4999999999999997,-0.8660254037844388,0
2023-07-15,5.87,22.49,90.43,5.87,95.93999999999993,237.80000000000004,456.87,1242.37,-0.4999999999999997,-0.8660254037844388,0
2023-07-16,4.08,21.95,91.73,4.08,29.259999999999927,234.81000000000003,421.50999999999993,1129.71,-0.4999999999999997,-0.8660254037844388,0
2023-07-17,4.01,21.36,92.16,4.01,13.95999999999993,215.11000000000004,371.16,1066.61,-0.4999999999999997,-0.8660254037844388,0
2023-07-18,1.54,23.65,81.12,1.54,9.629999999999928,160.07000000000002,366.96,973.63,-0.4999999999999997,-0.8660254037844388,0
2023-07-19,1.93,23.88,84.92,1.93,7.479999999999928,107.50000000000004,342.55,918.53,-0.4999999999999997,-0.8660254037844388,0
2023-07-20,3.13,23.94,87.55,3.13,6.599999999999929,39.870000000000026,295.14,880.4499999999999,-0.4999999999999997,-0.8660254037844388,0
2023-07-21,25.6,23.27,89.97,25.6,30.65999999999993,46.160000000000025,287.27,848.29,-0.4999999999999997,-0.8660254037844388,0
2023-07-22,8.89,22.65,91.92,8.89,37.61999999999993,49.18000000000004,286.98,815.78,-0.4999999999999997,-0.8660254037844388,0
