kaggle_idx,title,event_date,date_precision,state,district,location,latitude,longitude,event_type,description,kaggle_source,original_source,original_source_url,is_duplicate,verification_status,confidence,event_id
39,"Landslide incidence on NH-37, near Kotlen village, Noney district, Manipur (6th June 2018)",2018-06-06,Exact Day,Manipur,Parsed District,"Landslide incidence on NH-37, near Kotlen village, Noney district, Manipur (6th June 2018)",24.7817,93.7761,LANDSLIDE,"The landslide located at Lat. 24°46'54.10""N and Long. 93°46'33.80""E occurred on 6th June 2018 and caused reported blockage of the Imphal-Jiribam Road. The landslide is a reactivation of an old landslide that has occurred due to antecedent heavy rainfall....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,VERIFIED,HIGH,KAG_NER_EV_030
40,"Landslide incidence at Lunglawn, Lunglei Town, Lunglei district, Mizoram (4th June 2018)",2018-06-04,Exact Day,Mizoram,Parsed District,"Landslide incidence at Lunglawn, Lunglei Town, Lunglei district, Mizoram (4th June 2018)",,4.2361,LANDSLIDE,"The Lunglawn landslide which occurred at 18:30 hrs on 4th June, 2018 led to loss of 10 lives. The landslide which got triggered by reported antecedent heavy rainfall received during the whole day destroyed and buried one pucca house along with its occupants. Immediate rescue operation by neighbors a...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_031
43,"Landslide incidence on Tuensang-Chessore-Shamatore road, Tuensang District, Nagaland (21st May 2018)",2018-05-21,Exact Day,Nagaland,Parsed District,"Landslide incidence on Tuensang-Chessore-Shamatore road, Tuensang District, Nagaland (21st May 2018)",26.1124,94.7567,LANDSLIDE,"The site is located at Lat. 26°6'44.80""N and Long. 94°45'24.30""E falling in the SOI toposheet no. 83 J/16....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,VERIFIED,HIGH,KAG_NER_EV_032
44,"Landslide incidence in Hezamara and Bel Bari blocks of West Tripura district and Ompi block of Gomati district, Tripura (18th May, 2018)",2018-05-18,Exact Day,Tripura,Parsed District,"Landslide incidence in Hezamara and Bel Bari blocks of West Tripura district and Ompi block of Gomati district, Tripura (18th May, 2018)",,,LANDSLIDE,"Subsequent to incessant heavy rainfall on 18th May 2018, a number of landslides were reported in different parts of Tripura resulting in the loss of six (06) lives and injuring several people in three different incidences in Hezamara and Bel Bari blocks of West Tripura district and in Ompi block of ...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_033
45,"Landslide incidence at Sonapur, East Jaintia Hills District, Meghalaya (7th May 2018 )",2018-05-07,Exact Day,Assam,Parsed District,"Landslide incidence at Sonapur, East Jaintia Hills District, Meghalaya (7th May 2018 )",,6.17,LANDSLIDE,"On 7th May 2018 (01:00hrs), heavy rainfall triggered few landslides along NH-6 connecting Shillong with Barak Valley of Assam, Mizoram and Tripura which blocked 10m stretch of the important road corridor for more than 12 hours....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_034
46,"Landslide incidence along NH-37, near Makru-bridge over Makru river, Tamenglong District, Manipur (3rd May 2018)",2018-05-03,Exact Day,Manipur,Parsed District,"Landslide incidence along NH-37, near Makru-bridge over Makru river, Tamenglong District, Manipur (3rd May 2018)",,,LANDSLIDE,"On 3rd May 2018 rainfall triggered landslide along NH-37, near Makru bridge along Imphal-Jiribam Highway damaging an approx. 205 m length of road....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_035
48,"Landslide in Upper Gurpisey, South Sikkim (20 September 2017)",2017-09-20,Exact Day,Sikkim,Parsed District,"Landslide in Upper Gurpisey, South Sikkim (20 September 2017)",,,LANDSLIDE,"A small debris slide occurred in Upper Gurpisey, Namchi, South Sikkim on 20.09.2017 at around 02.00 hrs. Tragedy struck due to torrential rainfall over the past 24 hours. The landslide caused loss of 03 human lives, injuries to 02 person and damages to properties....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_036
52,"Kalikhola land subsidence, Kangpokpi district, Manipur (4 June 2017)",2017-06-04,Exact Day,Manipur,Parsed District,"Kalikhola land subsidence, Kangpokpi district, Manipur (4 June 2017)",,,LANDSLIDE,"The Kalikhola village and adjoining slope (25° 08.661' N, 93°56.829' E) located on the left bank slope of Kalikhola River in the Kangpokpi District, Manipur was reported to have affected by ground subsidence, earth cracks and sinking of the land on 4 June 2017 onwards. A central team led by GSI visi...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_037
53,"Landslide incidences in Guwahati, Assam (13 June 2017)",2017-06-13,Exact Day,Assam,Parsed District,"Landslide incidences in Guwahati, Assam (13 June 2017)",,,LANDSLIDE,"High rainfall  measuring 68 mm in Khanapara, 73 mm in Rehabari and 69 mm in Gandhi Mandap areas during the period from 12 to 13 June 2017 have led to few landslides and collapse of boundary wall at several places in Guwahati city. Though there were no casualties on account of landslides, few buildin...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_038
54,"Landslide incidence in Tharia village, Ri Bhoi District, Meghalaya (17 June 2017)",2017-06-17,Exact Day,Meghalaya,Parsed District,"Landslide incidence in Tharia village, Ri Bhoi District, Meghalaya (17 June 2017)",,,LANDSLIDE,"Heavy monsoon rainfall triggered a landslide in Tharia village, Ri-Bhoi district, Meghalaya at 04:30 hrs on 17 June 2017 in which five persons were reported dead, which included two minors and three adults and five tin-roofed hutments were completely buried under the debris....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_039
55,"Landslide incidences in Kamrup (Metro) District, Assam (3 July 2017)",2017-07-03,Exact Day,Assam,Parsed District,"Landslide incidences in Kamrup (Metro) District, Assam (3 July 2017)",,,LANDSLIDE,"Incessant monsoon rainfall triggered three landslides in two localities of Guwahati city; two landslides in Bonda colony and one in Panikhaiti. A seven year old girl was reported dead in the Panikhaiti-Bongoan landslide while one person got seriously injured, five persons displaced and one Kaccha ho...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_040
56,"Landslide incidences along NH-29 (Kiruphema) and Kohima city, Kohima district, Nagaland (9 July 2017)",2017-07-09,Exact Day,Nagaland,Parsed District,"Landslide incidences along NH-29 (Kiruphema) and Kohima city, Kohima district, Nagaland (9 July 2017)",,29.0347,DEBRIS FLOW,"A massive debris slide occurred on 9 July 2017 at Kiruphema along the NH-29. The debris slide, covering an approx. area of 1.65 sq.kms, subsequently progressed into a debris flow with the run-out distance greater than 1 km. In yet another incident, a massive landslide occurred during the night of 11...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_041
57,"Landslide incidence in Machong, East district, Sikkim (10 July 2017)",2017-07-10,Exact Day,Sikkim,Parsed District,"Landslide incidence in Machong, East district, Sikkim (10 July 2017)",,14.0025,LANDSLIDE,"Incessant monsoon rainfall triggered a devastating landslide near Machong village, Pachey town along Pakyong-Machong road in East district, Sikkim. The failure was initiated at around 14.00 hrs on 09 July2017 which became active and failed at around 8.30 hrs on 10 July 2017. The landslide swept away...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_042
58,"Subsidence in Ukhrul and Kangpokpi districts, Manipur (July, 2017)",2017-05-31,Exact Day,Manipur,Parsed District,"Subsidence in Ukhrul and Kangpokpi districts, Manipur (July, 2017)",,,LANDSLIDE,"Ground subsidence at Haijang village, Kangpokpi district which reportedly occurred during the first week of July led to the development of cracks in the UJB school classrooms, Haijang. Subsequent shifting and relocation of the school children to a temporary school was carried out. Another ground sub...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_043
59,"Landslide incidence in Laptap village, Papum Pare District, Arunachal Pradesh (11 July 2017)",2017-07-11,Exact Day,Arunachal Pradesh,Parsed District,"Landslide incidence in Laptap village, Papum Pare District, Arunachal Pradesh (11 July 2017)",,,LANDSLIDE,"Heavy monsoon rainfall triggered a massive landslide at Laptap village, Papum Pare district, Arunachal Pradesh at 14:30 hrs on 11 July, 2017. Several residential dwellings situated along the run-out path of the landslide were washed-off and submerged in the debris. As a result, 14 people were report...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_044
60,Landslide incidence in Sikkim - 14 January 2016,2016-01-14,Exact Day,Sikkim,Parsed District,Landslide incidence in Sikkim - 14 January 2016,,10.4525,ROCKFALL,"A rock fall occurred along national highway NH- 10 (27° 09&apos 52.2"": 88° 31&apos 56.3"") near Bhoteybhir village, Sikkim on 14/01/2016 at about 05-05.30 hrs. The rock fall zone is still active and occurs as a result of road cutting in a dry time. GSI has carried out the preliminary investigation of...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_045
61,"Landslide incidence in Karimgang and Hilakandi Districts, Assam (18th May 2016)",2016-05-18,Exact Day,Assam,Parsed District,"Landslide incidence in Karimgang and Hilakandi Districts, Assam (18th May 2016)",,,LANDSLIDE,"Incessant and concentrated pre-monsoon precipitation lasting for nearly 10 days has triggered 31 landslide incidences between 22nd and 23rd April 2016, in and around Tawang town, Arunachal Pradesh. This disastrous event has killed 18 persons and has also caused severe damage to property, cattle, sub...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_046
62,"Landslide incidence in Tawang, Arunachal Pradesh (22-23 April 2016)",2016-04-23,Exact Day,Assam,Parsed District,"Landslide incidence in Tawang, Arunachal Pradesh (22-23 April 2016)",,,LANDSLIDE,"Incessant and concentrated rainfall triggered four devastating landslide incidences in Assam on 18th May, 2016 which took away 11 precious lives and caused severe damage to property, cattle, agricultural land and road-stretches. Out of the four landslides, one occurred at Rakhalbasti area in Sonaich...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_047
