rank,latitude,longitude,terrain_susceptibility_index,susceptibility_class,elevation,slope,aspect,curvature,roughness,twi
16,23.755000000000003,86.41472222222224,0.75,HIGH,173.0,26.58470344543457,235.0033264160156,0.0125210238620638,12.031850814819336,9.066694259643556
17,23.75388888888889,86.4175,0.75,HIGH,182.0,29.808311462402344,134.3107452392578,-0.0182123985141515,13.79837131500244,8.877020835876465
18,23.75388888888889,86.41722222222224,0.75,HIGH,165.0,30.08531951904297,141.3975830078125,0.0170741230249404,14.06686019897461,8.882428169250488
19,23.756111111111117,86.41444444444446,0.75,HIGH,165.0,29.65439796447754,267.1511535644531,0.0136592984199523,13.349989891052246,8.927013397216797
20,23.75583333333334,86.41444444444446,0.75,HIGH,168.0,31.664661407470703,258.2769470214844,0.0125210238620638,14.391355514526367,8.860390663146973
21,23.756944444444446,86.415,0.75,HIGH,168.0,26.905351638793945,337.5292358398437,0.0136592984199523,12.418623924255373,8.913033485412598
22,23.75666666666667,86.41416666666667,0.75,HIGH,195.0,26.65827369689941,295.2619323730469,-0.0159358475357294,12.278657913208008,8.93289566040039
23,23.75388888888889,86.41666666666667,0.75,HIGH,154.0,27.42141342163086,188.30450439453125,0.0307334214448928,13.928388595581056,9.014586448669434
24,23.75527777777778,86.41916666666667,0.748953,HIGH,179.0,20.9797477722168,116.28023529052734,0.0113827483728528,9.067646980285645,9.010878562927246
25,23.75666666666667,86.415,0.748423,HIGH,155.0,18.923887252807617,330.7530822753906,0.0147975739091634,8.982836723327637,9.301156997680664
26,23.750277777777782,86.42027777777778,0.747243,HIGH,225.0,20.75639915466309,293.24395751953125,-0.0159358475357294,9.02397346496582,8.929587364196777
27,23.756388888888893,86.41472222222224,0.746453,HIGH,154.0,18.723493576049805,296.1859741210937,0.0182123985141515,8.706460952758789,9.381221771240234
28,23.755000000000003,86.41833333333334,0.745787,HIGH,168.0,19.82724380493164,144.92864990234375,0.0113827483728528,9.104333877563477,9.140027046203612
29,23.75555555555556,86.41916666666667,0.7436,HIGH,176.0,20.778379440307617,87.55758666992188,0.0113827483728528,8.891666412353516,9.001052856445312
30,23.75416666666667,86.41833333333334,0.739205,HIGH,201.0,19.53848648071289,129.6353759765625,-0.0113827483728528,8.705042839050293,9.22107219696045
31,23.751111111111115,86.42055555555557,0.737443,HIGH,214.0,20.59624481201172,288.17657470703125,0.0147975739091634,8.761588096618652,8.850651741027832
32,23.756944444444446,86.41722222222224,0.737008,HIGH,194.0,20.144142150878903,50.27051544189453,-0.0136592984199523,8.819170951843262,9.100008964538574
33,23.75416666666667,86.415,0.734295,HIGH,202.0,21.587820053100582,216.18777465820312,-0.0102444738149642,10.166515350341797,9.152339935302734
34,23.757222222222225,86.41555555555557,0.728384,HIGH,177.0,21.73897361755371,334.4599609375,-0.0102444738149642,10.023428916931152,9.098275184631348
35,23.75416666666667,86.4175,0.725,HIGH,166.0,27.104692459106445,129.18569946289062,0.0102444738149642,12.038005828857422,8.94558048248291
36,23.755000000000003,86.41805555555557,0.724498,HIGH,161.0,18.80105400085449,133.52554321289062,0.0159358475357294,8.731947898864746,9.164528846740724
37,23.75583333333334,86.41916666666667,0.723953,HIGH,180.0,20.873685836791992,62.88190460205078,0.0102444738149642,9.067646980285645,8.957505226135254
38,23.756111111111117,86.41472222222224,0.708373,HIGH,153.0,16.708694458007812,273.0877990722656,0.0136592984199523,7.795218467712402,9.512890815734863
39,23.756944444444446,86.41416666666667,0.707137,HIGH,199.0,17.487228393554688,287.93511962890625,-0.0113827483728528,8.184598922729492,9.306015014648438
40,23.75555555555556,86.415,0.704473,HIGH,144.0,16.521480560302734,237.89328002929688,0.0239037722349166,7.842586994171143,9.486028671264648
41,23.75444444444445,86.41833333333334,0.70401,HIGH,193.0,22.10846519470215,133.36314392089844,-0.0091061992570757,9.592949867248535,9.104000091552734
42,23.75444444444445,86.41444444444446,0.700116,HIGH,208.0,16.91122055053711,220.7243194580078,-0.0159358475357294,8.171011924743652,9.312084197998049
43,23.75555555555556,86.41444444444446,0.7,HIGH,176.0,32.11505126953125,252.7670440673828,-0.0091061992570757,14.332902908325195,8.845490455627441
44,23.75416666666667,86.41527777777779,0.7,HIGH,194.0,27.51387405395508,216.93084716796875,-0.0091061992570757,12.485053062438965,8.961929321289062
45,23.75361111111112,86.41666666666667,0.7,HIGH,178.0,37.25556564331055,188.66673278808597,0.0091061992570757,19.03667640686035,8.641626358032227
46,23.753333333333337,86.41777777777779,0.697154,HIGH,211.0,17.54366111755371,140.10421752929688,-0.0113827483728528,8.033879280090332,9.249032974243164
47,23.75444444444445,86.41861111111112,0.69651,HIGH,200.0,17.254777908325195,153.89938354492188,-0.0147975739091634,7.889671325683594,9.315630912780762
48,23.75444444444445,86.4175,0.684313,HIGH,158.0,15.886260986328123,111.6725082397461,0.0182123985141515,7.627111911773682,9.433483123779297
49,23.757500000000004,86.41611111111112,0.683057,HIGH,176.0,16.731178283691406,10.98939037322998,0.0170741230249404,7.617393970489502,9.326927185058594
50,23.75055555555556,86.42027777777778,0.681808,HIGH,227.0,18.305368423461918,272.1007995605469,-0.0125210238620638,7.861454486846924,9.020465850830078
